Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 412 Step 458: Training Loss 1.3284538984298706, Return 453.0
Episode 413 Step 500: Training Loss 0.7359858155250549, Return 447.0
Episode 414 Step 444: Training Loss 1.4971200227737427, Return 491.0
Episode 415 Step 500: Training Loss 1.1663345098495483, Return 468.0
Episode 416 Step 420: Training Loss 1.1992075443267822, Return 500.0
Episode 417 Step 477: Training Loss 0.6757312417030334, Return 500.0
Episode 418 Step 500: Training Loss 0.7368168830871582, Return 488.0
Episode 419 Step 488: Training Loss 0.46043285727500916, Return 450.0
Episode 420 Step 475: Training Loss 0.6845483183860779, Return 487.0
Episode 421 Step 463: Training Loss 0.6208258867263794, Return 449.0
Episode 422 Step 500: Training Loss 0.6117053031921387, Return 422.0
